"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status","US Tariff Status"
"282834-2","TE Connectivity AMP Connectors","A98333-ND","","","Box","Active","32","0.57840","$18.50","53421","21 Weeks","TERM BLK 2P SIDE ENT 2.54MM PCB","RoHS Compliant","Lead free","Not Available",""
"A 16-LC-TT","Assmann WSW Components","AE9992-ND","","","Tube","Active","19","0.23600","$4.48","37052","20 Weeks","CONN IC DIP SOCKET 16POS TIN","RoHS Compliant","Lead free","REACH Unaffected",""
"ULN2003A","STMicroelectronics","497-2344-5-ND","","","Tube","Active","19","0.59000","$11.21","16530","15 Weeks","IC PWR RELAY 7NPN 1:1 16DIP","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"61303621121","Wurth Electronics Inc.","732-5309-ND","","","Bag","Active","2","1.72000","$3.44","944","14 Weeks","CONN HEADER VERT 36POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected",""
"1N914","ON Semiconductor","1N914FS-ND","","","Bulk","Active","1","0.10000","$0.10","49546","17 Weeks","DIODE GEN PURP 100V 200MA DO35","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"SDS-50J","CUI Inc.","CP-2350-ND","","","Tray","Active","1","1.96000","$1.96","23683","14 Weeks","CONN RCPT FMALE DIN 5POS SOLDER","RoHS Compliant","Lead free","Not Available","Tariff Applied"
"61300211121","Wurth Electronics Inc.","732-5315-ND","","","Bag","Active","1","0.13000","$0.13","137416","14 Weeks","CONN HEADER VERT 2POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected",""
"61300811121","Wurth Electronics Inc.","732-5321-ND","","","Bag","Active","5","0.37000","$1.85","16009","14 Weeks","CONN HEADER VERT 8POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected",""
"61301011121","Wurth Electronics Inc.","732-2670-ND","","","Bag","Active","1","0.89000","$0.89","1991","14 Weeks","CONN HEADER VERT 10POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected",""
"CFM14JT220R","Stackpole Electronics Inc","S220QCT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","32781","15 Weeks","RES 220 OHM 1/4W 5% CF MINI","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"CFM14JT4K70","Stackpole Electronics Inc","S4.7KQCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","65380","15 Weeks","RES 4.7K OHM 1/4W 5% CF MINI","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"6N138","Lite-On Inc.","160-1795-ND","","","Tube","Active","1","0.81000","$0.81","4112","10 Weeks","OPTOISO 5KV DARL W/BASE 8DIP","RoHS Compliant","Lead free","Not Available",""
"A 08-LC-TT","Assmann WSW Components","AE9986-ND","","","Tube","Active","1","0.18000","$0.18","96970","20 Weeks","CONN IC DIP SOCKET 8POS TIN","RoHS Compliant","Lead free","REACH Unaffected","Tariff Eligible"
"QPC02SXGN-RC","Sullins Connector Solutions","S9337-ND","","","Bag","Active","1","0.10000","$0.10","462450","5 Weeks","CONN JUMPER SHORTING .100"" GOLD","RoHS Compliant","Lead free","REACH Unaffected",""